timestamp,SSID,RSSI,CH
2023-01-16 15:28:52.913911,AP-72,-64,12
2023-01-16 15:28:52.914160,AP-25,-71,12
2023-01-16 15:28:52.914332,AP-18,-72,12
2023-01-16 15:28:52.916286,AP-36,-73,12
2023-01-16 15:28:52.916467,pioneernuc,-87,1
2023-01-16 15:28:57.119851,AP-72,-64,12
2023-01-16 15:28:57.120050,AP-18,-71,12
2023-01-16 15:28:57.120220,AP-25,-74,12
2023-01-16 15:28:57.121996,AP-36,-76,12
2023-01-16 15:28:57.122177,pioneernuc,-86,1
2023-01-16 15:29:01.325670,AP-72,-64,12
2023-01-16 15:29:01.325885,AP-18,-72,12
2023-01-16 15:29:01.326088,AP-25,-74,12
2023-01-16 15:29:01.328007,AP-36,-74,12
2023-01-16 15:29:01.328176,pioneernuc,-84,1
2023-01-16 15:29:05.530542,AP-72,-64,12
2023-01-16 15:29:05.531014,AP-18,-70,12
2023-01-16 15:29:05.531159,AP-25,-73,12
2023-01-16 15:29:05.533590,AP-36,-74,12
2023-01-16 15:29:05.533763,pioneernuc,-85,1
2023-01-16 15:29:09.736478,AP-72,-63,12
2023-01-16 15:29:09.736629,AP-18,-72,12
2023-01-16 15:29:09.736770,AP-25,-74,12
2023-01-16 15:29:09.739364,AP-36,-75,12
2023-01-16 15:29:09.739553,pioneernuc,-87,1
2023-01-16 15:29:13.942382,AP-72,-64,12
2023-01-16 15:29:13.942576,AP-18,-71,12
2023-01-16 15:29:13.943001,AP-25,-73,12
2023-01-16 15:29:13.944997,AP-36,-74,12
2023-01-16 15:29:13.945171,pioneernuc,-86,1
2023-01-16 15:29:18.148293,AP-72,-65,12
2023-01-16 15:29:18.148448,AP-18,-71,12
2023-01-16 15:29:18.148589,AP-36,-74,12
2023-01-16 15:29:18.150690,AP-25,-75,12
2023-01-16 15:29:18.150903,pioneernuc,-86,1
2023-01-16 15:29:22.354165,AP-72,-64,12
2023-01-16 15:29:22.354609,AP-18,-71,12
2023-01-16 15:29:22.354862,AP-36,-73,12
2023-01-16 15:29:22.356354,AP-25,-74,12
2023-01-16 15:29:22.356764,pioneernuc,-87,1
2023-01-16 15:29:26.560128,AP-72,-64,12
2023-01-16 15:29:26.560283,AP-18,-71,12
2023-01-16 15:29:26.560451,AP-25,-73,12
2023-01-16 15:29:26.562328,AP-36,-74,12
2023-01-16 15:29:26.562535,pioneernuc,-87,1
2023-01-16 15:29:30.764972,AP-72,-65,12
2023-01-16 15:29:30.765170,AP-18,-72,12
2023-01-16 15:29:30.765342,AP-25,-73,12
2023-01-16 15:29:30.767825,AP-36,-74,12
2023-01-16 15:29:30.768024,pioneernuc,-86,1
2023-01-16 15:29:34.971048,AP-72,-64,12
2023-01-16 15:29:34.971353,AP-18,-71,12
2023-01-16 15:29:34.971689,AP-25,-72,12
2023-01-16 15:29:34.973566,AP-36,-74,12
2023-01-16 15:29:34.973749,pioneernuc,-86,1
2023-01-16 15:29:39.176838,AP-72,-64,12
2023-01-16 15:29:39.176992,AP-18,-72,12
2023-01-16 15:29:39.177134,AP-25,-73,12
2023-01-16 15:29:39.179309,AP-36,-74,12
2023-01-16 15:29:39.179564,pioneernuc,-85,1
2023-01-16 15:29:43.382920,AP-72,-64,12
2023-01-16 15:29:43.383105,AP-18,-71,12
2023-01-16 15:29:43.387243,AP-25,-72,12
2023-01-16 15:29:43.387462,AP-36,-74,12
2023-01-16 15:29:43.387744,pioneernuc,-86,1
2023-01-16 15:29:47.588684,AP-72,-64,12
2023-01-16 15:29:47.588864,AP-18,-71,12
2023-01-16 15:29:47.592854,AP-25,-74,12
2023-01-16 15:29:47.593003,AP-36,-75,12
2023-01-16 15:29:47.594470,pioneernuc,-85,1
2023-01-16 15:29:51.794529,AP-72,-64,12
2023-01-16 15:29:51.795037,AP-18,-71,12
2023-01-16 15:29:51.795254,AP-25,-74,12
2023-01-16 15:29:51.796801,AP-36,-74,12
2023-01-16 15:29:51.797043,pioneernuc,-85,1
