timestamp,SSID,RSSI,CH
2023-01-13 15:53:16.437582,AP-25,-36,12
2023-01-13 15:53:16.437786,FlyNet,-47,10
2023-01-13 15:53:16.437970,FlyNet_RCL,-50,5
2023-01-13 15:53:16.443741,LTU-H2Al,-61,6
2023-01-13 15:53:16.443887,LTU,-62,6
2023-01-13 15:53:16.444066,eduroam,-62,6
2023-01-13 15:53:16.448953,shafter2,-63,1
2023-01-13 15:53:16.449474,DIRECT-STLAPTOP-TMNRJ694msTF,-66,1
2023-01-13 15:53:16.454439,eduroam,-67,1
2023-01-13 15:53:16.454581,LTU,-67,1
2023-01-13 15:53:16.454807,pioneernuc,-70,1
2023-01-13 15:53:16.460340,eduroam,-84,1
2023-01-13 15:53:16.460713,LTU,-85,1
2023-01-13 15:53:16.461275,eduroam,-86,6
2023-01-13 15:53:16.461404,LTU,-86,6
2023-01-13 15:53:16.465749,eduroam,-86,11
2023-01-13 15:53:16.466132,LTU,-87,11
2023-01-13 15:53:16.466307,LTU,-92,6
2023-01-13 15:53:20.665512,AP-25,-37,12
2023-01-13 15:53:20.665698,FlyNet,-46,10
2023-01-13 15:53:20.665874,FlyNet_RCL,-50,5
2023-01-13 15:53:20.671397,eduroam,-62,6
2023-01-13 15:53:20.671597,LTU-H2Al,-62,6
2023-01-13 15:53:20.671734,LTU,-62,6
2023-01-13 15:53:20.677533,shafter2,-63,1
2023-01-13 15:53:20.677877,LTU,-67,1
2023-01-13 15:53:20.678075,pioneernuc,-67,1
2023-01-13 15:53:20.682347,eduroam,-67,1
2023-01-13 15:53:20.682742,DIRECT-STLAPTOP-TMNRJ694msTF,-67,1
2023-01-13 15:53:20.683076,LTU,-84,1
2023-01-13 15:53:20.688414,eduroam,-85,1
2023-01-13 15:53:20.688554,LTU,-85,6
2023-01-13 15:53:20.688711,eduroam,-85,6
2023-01-13 15:53:20.693513,eduroam,-87,11
2023-01-13 15:53:20.693733,LTU,-89,11
2023-01-13 15:53:20.694086,LTU,-96,6
2023-01-13 15:53:24.896172,AP-25,-36,12
2023-01-13 15:53:24.896355,FlyNet,-46,10
2023-01-13 15:53:24.896699,FlyNet_RCL,-49,5
2023-01-13 15:53:24.899902,LTU-H2Al,-61,6
2023-01-13 15:53:24.900090,LTU,-62,6
2023-01-13 15:53:24.900244,eduroam,-62,6
2023-01-13 15:53:24.905502,DIRECT-STLAPTOP-TMNRJ694msTF,-66,1
2023-01-13 15:53:24.905665,eduroam,-67,1
2023-01-13 15:53:24.915369,LTU,-67,1
2023-01-13 15:53:24.915536,shafter2,-67,1
2023-01-13 15:53:24.916019,pioneernuc,-69,1
2023-01-13 15:53:24.916361,eduroam,-85,6
2023-01-13 15:53:24.916536,eduroam,-85,11
2023-01-13 15:53:24.916670,LTU,-86,1
