timestamp,SSID,RSSI,CH
2023-01-16 15:45:38.084261,AP-18,-70,12
2023-01-16 15:45:38.084415,AP-25,-71,12
2023-01-16 15:45:38.084564,AP-36,-74,12
2023-01-16 15:45:38.087333,AP-72,-78,12
2023-01-16 15:45:38.087534,pioneernuc,-79,1
2023-01-16 15:45:42.289498,AP-25,-71,12
2023-01-16 15:45:42.289676,AP-18,-71,12
2023-01-16 15:45:42.293999,AP-36,-75,12
2023-01-16 15:45:42.294154,AP-72,-77,12
2023-01-16 15:45:42.294462,pioneernuc,-81,1
2023-01-16 15:45:46.495950,AP-25,-68,12
2023-01-16 15:45:46.496111,AP-18,-70,12
2023-01-16 15:45:46.496316,AP-36,-76,12
2023-01-16 15:45:46.498559,AP-72,-77,12
2023-01-16 15:45:46.498839,pioneernuc,-85,1
2023-01-16 15:45:50.701900,AP-18,-69,12
2023-01-16 15:45:50.702177,AP-25,-74,12
2023-01-16 15:45:50.702347,AP-36,-75,12
2023-01-16 15:45:50.704291,AP-72,-76,12
2023-01-16 15:45:50.704529,pioneernuc,-79,1
2023-01-16 15:45:54.907886,AP-18,-69,12
2023-01-16 15:45:54.908040,AP-36,-74,12
2023-01-16 15:45:54.908180,AP-25,-76,12
2023-01-16 15:45:54.910013,AP-72,-77,12
2023-01-16 15:45:54.910237,pioneernuc,-83,1
2023-01-16 15:45:59.112747,AP-25,-69,12
2023-01-16 15:45:59.112906,AP-18,-70,12
2023-01-16 15:45:59.113079,AP-36,-76,12
2023-01-16 15:45:59.116707,AP-72,-78,12
2023-01-16 15:45:59.117325,pioneernuc,-81,1
2023-01-16 15:46:03.318617,AP-18,-70,12
2023-01-16 15:46:03.318790,AP-25,-72,12
2023-01-16 15:46:03.318968,AP-36,-75,12
2023-01-16 15:46:03.321474,AP-72,-76,12
2023-01-16 15:46:03.321698,pioneernuc,-87,1
2023-01-16 15:46:07.526956,AP-18,-70,12
2023-01-16 15:46:07.527609,AP-25,-70,12
2023-01-16 15:46:07.527887,AP-36,-74,12
2023-01-16 15:46:07.528087,AP-72,-77,12
2023-01-16 15:46:07.528313,pioneernuc,-79,1
2023-01-16 15:46:11.730457,AP-25,-67,12
2023-01-16 15:46:11.730648,AP-18,-70,12
2023-01-16 15:46:11.730881,pioneernuc,-75,1
2023-01-16 15:46:11.733052,AP-72,-76,12
2023-01-16 15:46:11.733273,AP-36,-76,12
2023-01-16 15:46:15.936303,AP-18,-69,12
2023-01-16 15:46:15.936465,AP-25,-70,12
2023-01-16 15:46:15.936611,AP-36,-75,12
2023-01-16 15:46:15.938580,AP-72,-76,12
2023-01-16 15:46:15.938831,pioneernuc,-77,1
2023-01-16 15:46:20.142355,AP-18,-70,12
2023-01-16 15:46:20.142525,AP-25,-71,12
2023-01-16 15:46:20.142690,pioneernuc,-73,1
2023-01-16 15:46:20.146296,AP-36,-75,12
2023-01-16 15:46:20.146523,AP-72,-77,12
2023-01-16 15:46:24.348383,AP-18,-68,12
2023-01-16 15:46:24.348526,AP-25,-70,12
2023-01-16 15:46:24.352228,pioneernuc,-74,1
2023-01-16 15:46:24.352444,AP-36,-75,12
2023-01-16 15:46:24.352625,AP-72,-77,12
2023-01-16 15:46:28.554018,AP-18,-70,12
2023-01-16 15:46:28.554208,AP-25,-70,12
2023-01-16 15:46:28.554394,AP-36,-76,12
2023-01-16 15:46:28.556225,AP-72,-77,12
2023-01-16 15:46:28.556532,pioneernuc,-79,1
2023-01-16 15:46:32.759104,AP-18,-70,12
2023-01-16 15:46:32.759297,AP-25,-71,12
2023-01-16 15:46:32.759566,AP-36,-75,12
2023-01-16 15:46:32.761877,AP-72,-76,12
2023-01-16 15:46:32.762072,pioneernuc,-86,1
