timestamp,SSID,RSSI,CH
2023-01-16 15:10:35.231174,AP-36,-56,12
2023-01-16 15:10:35.231396,AP-72,-60,12
2023-01-16 15:10:35.235297,AP-25,-71,12
2023-01-16 15:10:35.235559,AP-18,-78,12
2023-01-16 15:10:35.235777,pioneernuc,-88,1
2023-01-16 15:10:39.437117,AP-36,-57,12
2023-01-16 15:10:39.437408,AP-72,-59,12
2023-01-16 15:10:39.437672,AP-25,-73,12
2023-01-16 15:10:39.439788,AP-18,-80,12
2023-01-16 15:10:39.440155,pioneernuc,-86,1
2023-01-16 15:10:43.643175,AP-36,-57,12
2023-01-16 15:10:43.643618,AP-72,-59,12
2023-01-16 15:10:43.644001,AP-25,-72,12
2023-01-16 15:10:43.646174,AP-18,-82,12
2023-01-16 15:10:43.647198,pioneernuc,-90,1
2023-01-16 15:10:47.848855,AP-36,-57,12
2023-01-16 15:10:47.849083,AP-72,-59,12
2023-01-16 15:10:47.849270,AP-25,-73,12
2023-01-16 15:10:47.851272,AP-18,-78,12
2023-01-16 15:10:47.851489,pioneernuc,-82,1
2023-01-16 15:10:52.054570,AP-36,-56,12
2023-01-16 15:10:52.054782,AP-72,-59,12
2023-01-16 15:10:52.054953,AP-25,-73,12
2023-01-16 15:10:52.057162,pioneernuc,-80,1
2023-01-16 15:10:52.057324,AP-18,-80,12
2023-01-16 15:10:56.261013,AP-36,-58,12
2023-01-16 15:10:56.261242,AP-72,-59,12
2023-01-16 15:10:56.261425,AP-25,-74,12
2023-01-16 15:10:56.262775,pioneernuc,-79,1
2023-01-16 15:10:56.262949,AP-18,-80,12
2023-01-16 15:11:00.466451,AP-36,-57,12
2023-01-16 15:11:00.466684,AP-72,-59,12
2023-01-16 15:11:00.466865,AP-25,-74,12
2023-01-16 15:11:00.469525,AP-18,-77,12
2023-01-16 15:11:00.469818,pioneernuc,-80,1
2023-01-16 15:11:04.671314,AP-36,-57,12
2023-01-16 15:11:04.671518,AP-72,-59,12
2023-01-16 15:11:04.671688,AP-25,-72,12
2023-01-16 15:11:04.674278,AP-18,-76,12
2023-01-16 15:11:04.674535,pioneernuc,-78,1
2023-01-16 15:11:08.877765,AP-36,-57,12
2023-01-16 15:11:08.877967,AP-72,-59,12
2023-01-16 15:11:08.881143,pioneernuc,-77,1
2023-01-16 15:11:08.881335,AP-18,-77,12
2023-01-16 15:11:08.881586,AP-25,-78,12
2023-01-16 15:11:13.083203,AP-36,-57,12
2023-01-16 15:11:13.083407,AP-72,-59,12
2023-01-16 15:11:13.083626,pioneernuc,-75,1
2023-01-16 15:11:13.087847,AP-25,-76,12
2023-01-16 15:11:13.088044,AP-18,-77,12
2023-01-16 15:11:17.289031,AP-36,-56,12
2023-01-16 15:11:17.289215,AP-72,-60,12
2023-01-16 15:11:17.289533,AP-25,-73,12
2023-01-16 15:11:17.291718,AP-18,-78,12
2023-01-16 15:11:17.292078,pioneernuc,-81,1
2023-01-16 15:11:21.494908,AP-36,-57,12
2023-01-16 15:11:21.495103,AP-72,-59,12
2023-01-16 15:11:21.495365,AP-25,-73,12
2023-01-16 15:11:21.497209,AP-18,-78,12
2023-01-16 15:11:21.497426,pioneernuc,-88,1
2023-01-16 15:11:25.700880,AP-36,-57,12
2023-01-16 15:11:25.701282,AP-72,-59,12
2023-01-16 15:11:25.701574,AP-25,-73,12
2023-01-16 15:11:25.703106,AP-18,-80,12
2023-01-16 15:11:25.703473,pioneernuc,-86,1
2023-01-16 15:11:29.906787,AP-36,-57,12
2023-01-16 15:11:29.906942,AP-72,-58,12
2023-01-16 15:11:29.907120,AP-25,-73,12
2023-01-16 15:11:29.908820,AP-18,-78,12
2023-01-16 15:11:29.909028,pioneernuc,-88,1
2023-01-16 15:11:34.111553,AP-36,-57,12
2023-01-16 15:11:34.111805,AP-72,-58,12
2023-01-16 15:11:34.112049,AP-25,-73,12
2023-01-16 15:11:34.112337,AP-18,-77,12
