timestamp,SSID,RSSI,CH
2023-01-16 14:27:45.624853,AP-18,-57,12
2023-01-16 14:27:45.625315,AP-25,-77,12
2023-01-16 14:27:45.625473,AP-36,-79,12
2023-01-16 14:27:45.627238,AP-72,-82,12
2023-01-16 14:27:45.627443,pioneernuc,-90,1
2023-01-16 14:27:49.830800,AP-18,-59,12
2023-01-16 14:27:49.831003,AP-25,-77,12
2023-01-16 14:27:49.831435,AP-36,-80,12
2023-01-16 14:27:49.832912,AP-72,-81,12
2023-01-16 14:27:49.833094,pioneernuc,-92,1
2023-01-16 14:27:54.036740,AP-18,-57,12
2023-01-16 14:27:54.036945,AP-25,-77,12
2023-01-16 14:27:54.037089,AP-36,-79,12
2023-01-16 14:27:54.038759,AP-72,-81,12
2023-01-16 14:27:54.039183,pioneernuc,-91,1
2023-01-16 14:27:58.241473,AP-18,-58,12
2023-01-16 14:27:58.241662,AP-25,-77,12
2023-01-16 14:27:58.241841,AP-36,-80,12
2023-01-16 14:27:58.244376,AP-72,-81,12
2023-01-16 14:27:58.244790,pioneernuc,-92,1
2023-01-16 14:28:02.447506,AP-18,-57,12
2023-01-16 14:28:02.447700,AP-25,-76,12
2023-01-16 14:28:02.448000,AP-72,-78,12
2023-01-16 14:28:02.451922,AP-36,-78,12
2023-01-16 14:28:02.452167,pioneernuc,-93,1
2023-01-16 14:28:06.654131,AP-18,-58,12
2023-01-16 14:28:06.654284,AP-25,-76,12
2023-01-16 14:28:06.654427,AP-36,-79,12
2023-01-16 14:28:06.655958,AP-72,-81,12
2023-01-16 14:28:06.656372,pioneernuc,-92,1
2023-01-16 14:28:10.859205,AP-18,-57,12
2023-01-16 14:28:10.859364,AP-25,-77,12
2023-01-16 14:28:10.859601,AP-36,-79,12
2023-01-16 14:28:10.861539,AP-72,-79,12
2023-01-16 14:28:10.861716,pioneernuc,-91,1
2023-01-16 14:28:15.065121,AP-18,-58,12
2023-01-16 14:28:15.065364,AP-25,-77,12
2023-01-16 14:28:15.065553,AP-36,-79,12
2023-01-16 14:28:15.067066,AP-72,-81,12
2023-01-16 14:28:15.067336,pioneernuc,-92,1
2023-01-16 14:28:19.270067,AP-18,-57,12
2023-01-16 14:28:19.270223,AP-25,-77,12
2023-01-16 14:28:19.270366,AP-36,-79,12
2023-01-16 14:28:19.272890,AP-72,-81,12
2023-01-16 14:28:19.273184,pioneernuc,-90,1
2023-01-16 14:28:23.475797,AP-18,-58,12
2023-01-16 14:28:23.476013,AP-25,-77,12
2023-01-16 14:28:23.476247,AP-36,-80,12
2023-01-16 14:28:23.478768,AP-72,-82,12
2023-01-16 14:28:23.478972,pioneernuc,-91,1
2023-01-16 14:28:27.681977,AP-18,-57,12
2023-01-16 14:28:27.682213,AP-25,-76,12
2023-01-16 14:28:27.686477,AP-36,-79,12
2023-01-16 14:28:27.686626,AP-72,-81,12
2023-01-16 14:28:27.686792,pioneernuc,-89,1
2023-01-16 14:28:31.887833,AP-18,-58,12
2023-01-16 14:28:31.888275,AP-25,-77,12
2023-01-16 14:28:31.888483,AP-36,-79,12
2023-01-16 14:28:31.890368,AP-72,-81,12
2023-01-16 14:28:31.890648,pioneernuc,-91,1
2023-01-16 14:28:36.093748,AP-18,-58,12
2023-01-16 14:28:36.094104,AP-25,-76,12
2023-01-16 14:28:36.094315,AP-36,-80,12
2023-01-16 14:28:36.096199,AP-72,-82,12
2023-01-16 14:28:36.096670,pioneernuc,-92,1
2023-01-16 14:28:40.299581,AP-18,-58,12
2023-01-16 14:28:40.299736,AP-25,-76,12
2023-01-16 14:28:40.299905,AP-36,-80,12
2023-01-16 14:28:40.303727,AP-72,-81,12
2023-01-16 14:28:40.303903,pioneernuc,-92,1
