timestamp,SSID,RSSI,CH
2023-01-16 14:31:57.968843,AP-18,-69,12
2023-01-16 14:31:57.969040,AP-36,-74,12
2023-01-16 14:31:57.969895,AP-25,-74,12
2023-01-16 14:31:57.973257,AP-72,-80,12
2023-01-16 14:31:57.973599,pioneernuc,-89,1
2023-01-16 14:32:02.175150,AP-18,-63,12
2023-01-16 14:32:02.175853,AP-36,-73,12
2023-01-16 14:32:02.176003,AP-25,-74,12
2023-01-16 14:32:02.176890,AP-72,-81,12
2023-01-16 14:32:02.177102,pioneernuc,-86,1
2023-01-16 14:32:06.379870,AP-18,-67,12
2023-01-16 14:32:06.380037,AP-36,-75,12
2023-01-16 14:32:06.380182,AP-25,-75,12
2023-01-16 14:32:06.382601,AP-72,-81,12
2023-01-16 14:32:06.382808,pioneernuc,-88,1
2023-01-16 14:32:10.585549,AP-18,-67,12
2023-01-16 14:32:10.585761,AP-25,-74,12
2023-01-16 14:32:10.585937,AP-36,-75,12
2023-01-16 14:32:10.588404,AP-72,-81,12
2023-01-16 14:32:10.588579,pioneernuc,-87,1
2023-01-16 14:32:14.791451,AP-18,-67,12
2023-01-16 14:32:14.791716,AP-36,-74,12
2023-01-16 14:32:14.792099,AP-25,-74,12
2023-01-16 14:32:14.794095,AP-72,-80,12
2023-01-16 14:32:14.794351,pioneernuc,-88,1
2023-01-16 14:32:18.997327,AP-18,-68,12
2023-01-16 14:32:18.997478,AP-36,-74,12
2023-01-16 14:32:18.997621,AP-25,-75,12
2023-01-16 14:32:19.000128,AP-72,-80,12
2023-01-16 14:32:19.000301,pioneernuc,-87,1
2023-01-16 14:32:23.203271,AP-18,-69,12
2023-01-16 14:32:23.203457,AP-25,-73,12
2023-01-16 14:32:23.203606,AP-36,-75,12
2023-01-16 14:32:23.205530,AP-72,-81,12
2023-01-16 14:32:23.205703,pioneernuc,-88,1
2023-01-16 14:32:27.409198,AP-18,-70,12
2023-01-16 14:32:27.409395,AP-25,-74,12
2023-01-16 14:32:27.409628,AP-36,-74,12
2023-01-16 14:32:27.411176,AP-72,-81,12
2023-01-16 14:32:27.411420,pioneernuc,-89,1
2023-01-16 14:32:31.612545,AP-18,-70,12
2023-01-16 14:32:31.612761,AP-36,-74,12
2023-01-16 14:32:31.616958,AP-25,-75,12
2023-01-16 14:32:31.617115,AP-72,-80,12
2023-01-16 14:32:31.617378,pioneernuc,-89,1
2023-01-16 14:32:35.819955,AP-36,-73,12
2023-01-16 14:32:35.820210,AP-25,-74,12
2023-01-16 14:32:35.820626,AP-18,-77,12
2023-01-16 14:32:35.824594,AP-72,-82,12
2023-01-16 14:32:35.824859,pioneernuc,-87,1
2023-01-16 14:32:40.025854,AP-18,-71,12
2023-01-16 14:32:40.026134,AP-25,-74,12
2023-01-16 14:32:40.026294,AP-36,-75,12
2023-01-16 14:32:40.028227,AP-72,-81,12
2023-01-16 14:32:40.028459,pioneernuc,-89,1
2023-01-16 14:32:44.231844,AP-18,-71,12
2023-01-16 14:32:44.232305,AP-25,-74,12
2023-01-16 14:32:44.232528,AP-36,-75,12
2023-01-16 14:32:44.234029,AP-72,-81,12
2023-01-16 14:32:44.234260,pioneernuc,-87,1
2023-01-16 14:32:48.437813,AP-18,-71,12
2023-01-16 14:32:48.437987,AP-25,-74,12
2023-01-16 14:32:48.438158,AP-36,-75,12
2023-01-16 14:32:48.439732,AP-72,-79,12
2023-01-16 14:32:48.439944,pioneernuc,-88,1
2023-01-16 14:32:52.642503,AP-18,-70,12
2023-01-16 14:32:52.642683,AP-36,-75,12
2023-01-16 14:32:52.642832,AP-25,-75,12
2023-01-16 14:32:52.645568,AP-72,-81,12
2023-01-16 14:32:52.645742,pioneernuc,-88,1
