timestamp,SSID,RSSI,CH
2023-01-16 15:32:06.377285,AP-25,-68,12
2023-01-16 15:32:06.377540,AP-72,-76,12
2023-01-16 15:32:06.377781,AP-18,-76,12
2023-01-16 15:32:06.379988,AP-36,-77,12
2023-01-16 15:32:06.380553,pioneernuc,-82,1
2023-01-16 15:32:10.583200,AP-25,-70,12
2023-01-16 15:32:10.583411,AP-72,-74,12
2023-01-16 15:32:10.583674,AP-36,-79,12
2023-01-16 15:32:10.585592,AP-18,-79,12
2023-01-16 15:32:10.585805,pioneernuc,-83,1
2023-01-16 15:32:14.789151,AP-25,-70,12
2023-01-16 15:32:14.789304,AP-72,-76,12
2023-01-16 15:32:14.789443,AP-36,-79,12
2023-01-16 15:32:14.791401,AP-18,-81,12
2023-01-16 15:32:14.791607,pioneernuc,-82,1
2023-01-16 15:32:18.993961,AP-25,-69,12
2023-01-16 15:32:18.994185,AP-72,-76,12
2023-01-16 15:32:18.994338,AP-18,-81,12
2023-01-16 15:32:18.997025,pioneernuc,-82,1
2023-01-16 15:32:18.997172,AP-36,-82,12
2023-01-16 15:32:23.199872,AP-25,-69,12
2023-01-16 15:32:23.200134,AP-72,-76,12
2023-01-16 15:32:23.200332,pioneernuc,-81,1
2023-01-16 15:32:23.203160,AP-36,-81,12
2023-01-16 15:32:23.203432,AP-18,-81,12
2023-01-16 15:32:27.405794,AP-25,-70,12
2023-01-16 15:32:27.406025,AP-72,-75,12
2023-01-16 15:32:27.406414,AP-36,-78,12
2023-01-16 15:32:27.408472,AP-18,-80,12
2023-01-16 15:32:27.408680,pioneernuc,-83,1
2023-01-16 15:32:31.611706,AP-25,-70,12
2023-01-16 15:32:31.611937,AP-72,-78,12
2023-01-16 15:32:31.612094,AP-36,-80,12
2023-01-16 15:32:31.614361,pioneernuc,-81,1
2023-01-16 15:32:31.614692,AP-18,-81,12
2023-01-16 15:32:35.817617,AP-25,-70,12
2023-01-16 15:32:35.817824,AP-72,-79,12
2023-01-16 15:32:35.818039,AP-36,-80,12
2023-01-16 15:32:35.821781,AP-18,-81,12
2023-01-16 15:32:35.821953,pioneernuc,-82,1
2023-01-16 15:32:40.022535,AP-25,-70,12
2023-01-16 15:32:40.022687,AP-72,-75,12
2023-01-16 15:32:40.022910,AP-36,-79,12
2023-01-16 15:32:40.027362,AP-18,-81,12
2023-01-16 15:32:40.027604,pioneernuc,-84,1
2023-01-16 15:32:44.228408,AP-25,-72,12
2023-01-16 15:32:44.228607,AP-72,-76,12
2023-01-16 15:32:44.228954,AP-36,-79,12
2023-01-16 15:32:44.231341,AP-18,-80,12
2023-01-16 15:32:44.231813,pioneernuc,-81,1
2023-01-16 15:32:48.434308,AP-25,-72,12
2023-01-16 15:32:48.434548,AP-72,-73,12
2023-01-16 15:32:48.434758,AP-36,-80,12
2023-01-16 15:32:48.437196,AP-18,-81,12
2023-01-16 15:32:48.437527,pioneernuc,-83,1
2023-01-16 15:32:52.640422,AP-25,-71,12
2023-01-16 15:32:52.640931,AP-72,-76,12
2023-01-16 15:32:52.641073,AP-36,-79,12
2023-01-16 15:32:52.642799,AP-18,-80,12
2023-01-16 15:32:52.642993,pioneernuc,-82,1
2023-01-16 15:32:56.846103,AP-25,-72,12
2023-01-16 15:32:56.846262,AP-36,-77,12
2023-01-16 15:32:56.846403,AP-72,-78,12
2023-01-16 15:32:56.848431,AP-18,-79,12
2023-01-16 15:32:56.848660,pioneernuc,-83,1
2023-01-16 15:33:01.051976,AP-25,-73,12
2023-01-16 15:33:01.052291,AP-36,-76,12
2023-01-16 15:33:01.052491,AP-72,-79,12
2023-01-16 15:33:01.054208,AP-18,-81,12
2023-01-16 15:33:01.054379,pioneernuc,-82,1
2023-01-16 15:33:05.256908,AP-25,-68,12
2023-01-16 15:33:05.257069,AP-72,-74,12
2023-01-16 15:33:05.257362,AP-36,-77,12
2023-01-16 15:33:05.259767,AP-18,-77,12
2023-01-16 15:33:05.259993,pioneernuc,-82,1
