timestamp,SSID,RSSI,CH
2023-01-16 15:48:22.107388,AP-25,-64,12
2023-01-16 15:48:22.107603,AP-72,-75,12
2023-01-16 15:48:22.107743,AP-18,-75,12
2023-01-16 15:48:22.110004,pioneernuc,-83,1
2023-01-16 15:48:22.110151,AP-36,-84,12
2023-01-16 15:48:26.313328,AP-25,-64,12
2023-01-16 15:48:26.313489,AP-18,-75,12
2023-01-16 15:48:26.313629,AP-72,-79,12
2023-01-16 15:48:26.315645,AP-36,-83,12
2023-01-16 15:48:26.315834,pioneernuc,-87,1
2023-01-16 15:48:30.519609,AP-25,-64,12
2023-01-16 15:48:30.522010,AP-18,-73,12
2023-01-16 15:48:30.522823,AP-72,-79,12
2023-01-16 15:48:30.523457,AP-36,-83,12
2023-01-16 15:48:30.523795,pioneernuc,-89,1
2023-01-16 15:48:34.724088,AP-25,-63,12
2023-01-16 15:48:34.724273,AP-18,-75,12
2023-01-16 15:48:34.724441,AP-72,-79,12
2023-01-16 15:48:34.729097,AP-36,-83,12
2023-01-16 15:48:34.729270,pioneernuc,-88,1
2023-01-16 15:48:38.929140,AP-25,-64,12
2023-01-16 15:48:38.929282,AP-18,-75,12
2023-01-16 15:48:38.933145,AP-72,-78,12
2023-01-16 15:48:38.933328,AP-36,-82,12
2023-01-16 15:48:38.933557,pioneernuc,-88,1
2023-01-16 15:48:43.135903,AP-25,-64,12
2023-01-16 15:48:43.136259,AP-18,-75,12
2023-01-16 15:48:43.136409,AP-72,-77,12
2023-01-16 15:48:43.138604,AP-36,-82,12
2023-01-16 15:48:43.138822,pioneernuc,-88,1
2023-01-16 15:48:47.341790,AP-25,-64,12
2023-01-16 15:48:47.341974,AP-18,-76,12
2023-01-16 15:48:47.342129,AP-72,-78,12
2023-01-16 15:48:47.344403,AP-36,-82,12
2023-01-16 15:48:47.344574,pioneernuc,-84,1
2023-01-16 15:48:51.547838,AP-25,-64,12
2023-01-16 15:48:51.548020,AP-18,-74,12
2023-01-16 15:48:51.548176,AP-72,-78,12
2023-01-16 15:48:51.550045,pioneernuc,-82,1
2023-01-16 15:48:51.550196,AP-36,-83,12
2023-01-16 15:48:55.753550,AP-25,-63,12
2023-01-16 15:48:55.753699,AP-18,-75,12
2023-01-16 15:48:55.753884,pioneernuc,-77,1
2023-01-16 15:48:55.755851,AP-72,-79,12
2023-01-16 15:48:55.756123,AP-36,-81,12
2023-01-16 15:48:59.958494,AP-25,-63,12
2023-01-16 15:48:59.958651,AP-18,-76,12
2023-01-16 15:48:59.958836,AP-72,-78,12
2023-01-16 15:48:59.961608,pioneernuc,-82,1
2023-01-16 15:48:59.961769,AP-36,-83,12
2023-01-16 15:49:04.164389,AP-25,-64,12
2023-01-16 15:49:04.164628,AP-18,-75,12
2023-01-16 15:49:04.164902,AP-72,-78,12
2023-01-16 15:49:04.167180,pioneernuc,-82,1
2023-01-16 15:49:04.167417,AP-36,-83,12
2023-01-16 15:49:08.370382,AP-25,-64,12
2023-01-16 15:49:08.370597,AP-18,-75,12
2023-01-16 15:49:08.370834,AP-72,-78,12
2023-01-16 15:49:08.372905,AP-36,-83,12
2023-01-16 15:49:08.373179,pioneernuc,-88,1
2023-01-16 15:49:12.576248,AP-25,-64,12
2023-01-16 15:49:12.576444,AP-18,-75,12
2023-01-16 15:49:12.576609,AP-72,-77,12
2023-01-16 15:49:12.580461,AP-36,-83,12
2023-01-16 15:49:12.580742,pioneernuc,-90,1
2023-01-16 15:49:16.782041,AP-25,-63,12
2023-01-16 15:49:16.782201,AP-18,-75,12
2023-01-16 15:49:16.782350,AP-72,-78,12
2023-01-16 15:49:16.786313,AP-36,-83,12
2023-01-16 15:49:16.786499,pioneernuc,-86,1
