timestamp,SSID,RSSI,CH
2023-01-16 15:44:01.352518,AP-25,-65,12
2023-01-16 15:44:01.352671,AP-72,-70,12
2023-01-16 15:44:01.352813,AP-18,-73,12
2023-01-16 15:44:01.355573,AP-36,-76,12
2023-01-16 15:44:01.355892,pioneernuc,-78,1
2023-01-16 15:44:05.558400,AP-25,-65,12
2023-01-16 15:44:05.558584,AP-72,-70,12
2023-01-16 15:44:05.558814,AP-18,-73,12
2023-01-16 15:44:05.563099,AP-36,-80,12
2023-01-16 15:44:05.563457,pioneernuc,-87,1
2023-01-16 15:44:09.764226,AP-25,-65,12
2023-01-16 15:44:09.764419,AP-72,-71,12
2023-01-16 15:44:09.764727,AP-18,-75,12
2023-01-16 15:44:09.769093,AP-36,-76,12
2023-01-16 15:44:09.769268,pioneernuc,-87,1
2023-01-16 15:44:13.970279,AP-25,-65,12
2023-01-16 15:44:13.970432,AP-72,-70,12
2023-01-16 15:44:13.970573,AP-18,-74,12
2023-01-16 15:44:13.973241,AP-36,-76,12
2023-01-16 15:44:13.973446,pioneernuc,-86,1
2023-01-16 15:44:18.176114,AP-25,-64,12
2023-01-16 15:44:18.176481,AP-72,-70,12
2023-01-16 15:44:18.176706,AP-18,-74,12
2023-01-16 15:44:18.178334,AP-36,-78,12
2023-01-16 15:44:18.178574,pioneernuc,-87,1
2023-01-16 15:44:22.381003,AP-25,-66,12
2023-01-16 15:44:22.381190,AP-72,-68,12
2023-01-16 15:44:22.381342,AP-18,-72,12
2023-01-16 15:44:22.383860,AP-36,-76,12
2023-01-16 15:44:22.384079,pioneernuc,-86,1
2023-01-16 15:44:26.586805,AP-25,-65,12
2023-01-16 15:44:26.586992,AP-72,-70,12
2023-01-16 15:44:26.587177,AP-18,-73,12
2023-01-16 15:44:26.589765,AP-36,-76,12
2023-01-16 15:44:26.589982,pioneernuc,-85,1
2023-01-16 15:44:30.794841,AP-25,-65,12
2023-01-16 15:44:30.795089,AP-72,-67,12
2023-01-16 15:44:30.795719,AP-18,-74,12
2023-01-16 15:44:30.795915,AP-36,-79,12
2023-01-16 15:44:30.796168,pioneernuc,-82,1
2023-01-16 15:44:34.998677,AP-25,-65,12
2023-01-16 15:44:34.998967,AP-72,-70,12
2023-01-16 15:44:34.999175,AP-18,-72,12
2023-01-16 15:44:35.001147,AP-36,-79,12
2023-01-16 15:44:35.001348,pioneernuc,-83,1
2023-01-16 15:44:39.204579,AP-25,-66,12
2023-01-16 15:44:39.204834,AP-72,-70,12
2023-01-16 15:44:39.204984,AP-18,-72,12
2023-01-16 15:44:39.206859,AP-36,-79,12
2023-01-16 15:44:39.207115,pioneernuc,-84,1
2023-01-16 15:44:43.410603,AP-25,-66,12
2023-01-16 15:44:43.410787,AP-72,-70,12
2023-01-16 15:44:43.410944,AP-18,-73,12
2023-01-16 15:44:43.414461,AP-36,-78,12
2023-01-16 15:44:43.414661,pioneernuc,-83,1
2023-01-16 15:44:47.615397,AP-25,-66,12
2023-01-16 15:44:47.615551,AP-72,-70,12
2023-01-16 15:44:47.615693,AP-18,-74,12
2023-01-16 15:44:47.620474,AP-36,-77,12
2023-01-16 15:44:47.620989,pioneernuc,-82,1
2023-01-16 15:44:51.821369,AP-25,-66,12
2023-01-16 15:44:51.821585,AP-72,-69,12
2023-01-16 15:44:51.821800,AP-18,-73,12
2023-01-16 15:44:51.824052,AP-36,-76,12
2023-01-16 15:44:51.824232,pioneernuc,-82,1
2023-01-16 15:44:56.027320,AP-25,-66,12
2023-01-16 15:44:56.027479,AP-72,-69,12
2023-01-16 15:44:56.027649,AP-18,-74,12
2023-01-16 15:44:56.029868,AP-36,-75,12
2023-01-16 15:44:56.030141,pioneernuc,-83,1
