timestamp,SSID,RSSI,CH
2023-01-16 15:39:40.594638,AP-25,-62,12
2023-01-16 15:39:40.594835,AP-36,-69,12
2023-01-16 15:39:40.595357,pioneernuc,-74,1
2023-01-16 15:39:40.597336,AP-18,-76,12
2023-01-16 15:39:40.597512,AP-72,-80,12
2023-01-16 15:39:44.800597,AP-25,-63,12
2023-01-16 15:39:44.800846,AP-36,-69,12
2023-01-16 15:39:44.801045,pioneernuc,-74,1
2023-01-16 15:39:44.803263,AP-72,-77,12
2023-01-16 15:39:44.803486,AP-18,-79,12
2023-01-16 15:39:49.006397,AP-25,-63,12
2023-01-16 15:39:49.006655,AP-36,-68,12
2023-01-16 15:39:49.006847,pioneernuc,-74,1
2023-01-16 15:39:49.008822,AP-18,-79,12
2023-01-16 15:39:49.008980,AP-72,-81,12
2023-01-16 15:39:53.212302,AP-25,-64,12
2023-01-16 15:39:53.212463,AP-36,-69,12
2023-01-16 15:39:53.212757,pioneernuc,-75,1
2023-01-16 15:39:53.214621,AP-18,-79,12
2023-01-16 15:39:53.214793,AP-72,-82,12
2023-01-16 15:39:57.417520,AP-25,-63,12
2023-01-16 15:39:57.417664,AP-36,-70,12
2023-01-16 15:39:57.421942,pioneernuc,-75,1
2023-01-16 15:39:57.422194,AP-72,-82,12
2023-01-16 15:39:57.422349,AP-18,-86,12
2023-01-16 15:40:01.622325,AP-25,-63,12
2023-01-16 15:40:01.622471,AP-36,-71,12
2023-01-16 15:40:01.627625,pioneernuc,-75,1
2023-01-16 15:40:01.628187,AP-18,-82,12
2023-01-16 15:40:01.628330,AP-72,-85,12
2023-01-16 15:40:05.830042,AP-25,-63,12
2023-01-16 15:40:05.830239,AP-36,-71,12
2023-01-16 15:40:05.830471,pioneernuc,-74,1
2023-01-16 15:40:05.832029,AP-72,-79,12
2023-01-16 15:40:05.832238,AP-18,-81,12
2023-01-16 15:40:10.035019,AP-25,-63,12
2023-01-16 15:40:10.035174,AP-36,-68,12
2023-01-16 15:40:10.035389,pioneernuc,-73,1
2023-01-16 15:40:10.037856,AP-72,-76,12
2023-01-16 15:40:10.038059,AP-18,-82,12
2023-01-16 15:40:14.240802,AP-25,-62,12
2023-01-16 15:40:14.240990,AP-36,-68,12
2023-01-16 15:40:14.241220,pioneernuc,-74,1
2023-01-16 15:40:14.243664,AP-72,-78,12
2023-01-16 15:40:14.243903,AP-18,-79,12
2023-01-16 15:40:18.446664,AP-25,-62,12
2023-01-16 15:40:18.446878,AP-36,-69,12
2023-01-16 15:40:18.447086,pioneernuc,-73,1
2023-01-16 15:40:18.449340,AP-72,-75,12
2023-01-16 15:40:18.449538,AP-18,-87,12
2023-01-16 15:40:22.652610,AP-25,-62,12
2023-01-16 15:40:22.652801,AP-36,-71,12
2023-01-16 15:40:22.653066,pioneernuc,-73,1
2023-01-16 15:40:22.655133,AP-72,-79,12
2023-01-16 15:40:22.655347,AP-18,-88,12
2023-01-16 15:40:26.858999,AP-25,-61,12
2023-01-16 15:40:26.859152,AP-36,-69,12
2023-01-16 15:40:26.859317,pioneernuc,-73,1
2023-01-16 15:40:26.861127,AP-72,-74,12
2023-01-16 15:40:26.861284,AP-18,-75,12
2023-01-16 15:40:31.064449,AP-25,-63,12
2023-01-16 15:40:31.064613,AP-36,-68,12
2023-01-16 15:40:31.064805,pioneernuc,-74,1
2023-01-16 15:40:31.066806,AP-72,-76,12
2023-01-16 15:40:31.066954,AP-18,-88,12
2023-01-16 15:40:35.270304,AP-25,-62,12
2023-01-16 15:40:35.270495,AP-36,-68,12
2023-01-16 15:40:35.270668,pioneernuc,-75,1
2023-01-16 15:40:35.274541,AP-72,-77,12
2023-01-16 15:40:35.274703,AP-18,-77,12
2023-01-16 15:40:52.093138,AP-25,-63,12
2023-01-16 15:40:52.093457,AP-36,-68,12
2023-01-16 15:40:52.093720,pioneernuc,-75,1
2023-01-16 15:40:52.095833,AP-72,-79,12
2023-01-16 15:40:52.095988,AP-18,-85,12
2023-01-16 15:40:56.298818,AP-25,-62,12
2023-01-16 15:40:56.299299,AP-36,-67,12
2023-01-16 15:40:56.299745,pioneernuc,-74,1
2023-01-16 15:40:56.301831,AP-18,-82,12
2023-01-16 15:40:56.302191,AP-72,-83,12
2023-01-16 15:41:00.504843,AP-25,-63,12
2023-01-16 15:41:00.505018,AP-36,-68,12
2023-01-16 15:41:00.505210,pioneernuc,-74,1
2023-01-16 15:41:00.507472,AP-72,-79,12
2023-01-16 15:41:00.507632,AP-18,-85,12
2023-01-16 15:41:04.710743,AP-25,-63,12
2023-01-16 15:41:04.710946,AP-36,-68,12
2023-01-16 15:41:04.711193,pioneernuc,-74,1
2023-01-16 15:41:04.712895,AP-18,-82,12
2023-01-16 15:41:04.713062,AP-72,-84,12
2023-01-16 15:41:08.916692,AP-25,-63,12
2023-01-16 15:41:08.916861,AP-36,-69,12
2023-01-16 15:41:08.917088,pioneernuc,-75,1
2023-01-16 15:41:08.918698,AP-18,-79,12
2023-01-16 15:41:08.919390,AP-72,-82,12
2023-01-16 15:41:13.121485,AP-25,-63,12
2023-01-16 15:41:13.121752,AP-36,-69,12
2023-01-16 15:41:13.121938,pioneernuc,-73,1
2023-01-16 15:41:13.126312,AP-18,-80,12
2023-01-16 15:41:13.126478,AP-72,-82,12
2023-01-16 15:41:17.327346,AP-25,-63,12
2023-01-16 15:41:17.327583,AP-36,-70,12
2023-01-16 15:41:17.327842,pioneernuc,-74,1
2023-01-16 15:41:17.332117,AP-18,-81,12
2023-01-16 15:41:17.332279,AP-72,-84,12
2023-01-16 15:41:21.534699,AP-25,-63,12
2023-01-16 15:41:21.534882,AP-36,-71,12
2023-01-16 15:41:21.535064,pioneernuc,-73,1
2023-01-16 15:41:21.536158,AP-18,-82,12
2023-01-16 15:41:21.536318,AP-72,-84,12
2023-01-16 15:41:25.739161,AP-25,-63,12
2023-01-16 15:41:25.739531,AP-36,-71,12
2023-01-16 15:41:25.739837,pioneernuc,-73,1
2023-01-16 15:41:25.741843,AP-18,-82,12
2023-01-16 15:41:25.742277,AP-72,-83,12
2023-01-16 15:41:29.945066,AP-25,-63,12
2023-01-16 15:41:29.945426,AP-36,-69,12
2023-01-16 15:41:29.945758,pioneernuc,-73,1
2023-01-16 15:41:29.947420,AP-72,-84,12
2023-01-16 15:41:29.947587,AP-18,-85,12
2023-01-16 15:41:34.150892,AP-25,-63,12
2023-01-16 15:41:34.151197,AP-36,-69,12
2023-01-16 15:41:34.151397,pioneernuc,-74,1
2023-01-16 15:41:34.153321,AP-72,-80,12
2023-01-16 15:41:34.153547,AP-18,-80,12
2023-01-16 15:41:38.358692,AP-25,-62,12
2023-01-16 15:41:38.359041,AP-36,-69,12
2023-01-16 15:41:38.359376,pioneernuc,-74,1
2023-01-16 15:41:38.359583,AP-18,-82,12
2023-01-16 15:41:38.359828,AP-72,-83,12
2023-01-16 15:41:42.562744,AP-25,-63,12
2023-01-16 15:41:42.562919,AP-36,-69,12
2023-01-16 15:41:42.563117,pioneernuc,-73,1
2023-01-16 15:41:42.564890,AP-72,-83,12
2023-01-16 15:41:42.565051,AP-18,-84,12
2023-01-16 15:41:46.767657,AP-25,-63,12
2023-01-16 15:41:46.767928,AP-36,-68,12
2023-01-16 15:41:46.768187,pioneernuc,-74,1
2023-01-16 15:41:46.770598,AP-72,-82,12
2023-01-16 15:41:46.770850,AP-18,-84,12
2023-01-16 15:41:50.973993,AP-25,-63,12
2023-01-16 15:41:50.974230,AP-36,-68,12
2023-01-16 15:41:50.974456,pioneernuc,-74,1
2023-01-16 15:41:50.978409,AP-72,-81,12
2023-01-16 15:41:50.978635,AP-18,-81,12
