timestamp,SSID,RSSI,CH
2023-01-16 15:42:33.031484,AP-25,-65,12
2023-01-16 15:42:33.031713,AP-72,-68,12
2023-01-16 15:42:33.031869,AP-18,-73,12
2023-01-16 15:42:33.036291,pioneernuc,-77,1
2023-01-16 15:42:33.036499,AP-36,-80,12
2023-01-16 15:42:37.237609,AP-25,-66,12
2023-01-16 15:42:37.238020,AP-72,-69,12
2023-01-16 15:42:37.238192,pioneernuc,-74,1
2023-01-16 15:42:37.240103,AP-18,-74,12
2023-01-16 15:42:37.240272,AP-36,-76,12
2023-01-16 15:42:41.443416,AP-25,-66,12
2023-01-16 15:42:41.443603,AP-72,-69,12
2023-01-16 15:42:41.443835,AP-18,-74,12
2023-01-16 15:42:41.446550,pioneernuc,-75,1
2023-01-16 15:42:41.446712,AP-36,-80,12
2023-01-16 15:42:45.649274,AP-25,-65,12
2023-01-16 15:42:45.649438,AP-72,-68,12
2023-01-16 15:42:45.649673,pioneernuc,-73,1
2023-01-16 15:42:45.651566,AP-18,-75,12
2023-01-16 15:42:45.651759,AP-36,-76,12
2023-01-16 15:42:49.853418,AP-25,-66,12
2023-01-16 15:42:49.853623,AP-72,-68,12
2023-01-16 15:42:49.858067,pioneernuc,-74,1
2023-01-16 15:42:49.858240,AP-18,-74,12
2023-01-16 15:42:49.858417,AP-36,-79,12
2023-01-16 15:42:54.060970,AP-72,-67,12
2023-01-16 15:42:54.061169,AP-25,-67,12
2023-01-16 15:42:54.061328,AP-18,-74,12
2023-01-16 15:42:54.063129,AP-36,-77,12
2023-01-16 15:42:54.063302,pioneernuc,-82,1
2023-01-16 15:42:58.266169,AP-25,-66,12
2023-01-16 15:42:58.266519,AP-72,-69,12
2023-01-16 15:42:58.266722,AP-18,-74,12
2023-01-16 15:42:58.268856,pioneernuc,-77,1
2023-01-16 15:42:58.269084,AP-36,-78,12
2023-01-16 15:43:02.472214,AP-25,-66,12
2023-01-16 15:43:02.472694,AP-72,-68,12
2023-01-16 15:43:02.472889,AP-18,-74,12
2023-01-16 15:43:02.474713,AP-36,-78,12
2023-01-16 15:43:02.474894,pioneernuc,-80,1
2023-01-16 15:43:06.678131,AP-25,-66,12
2023-01-16 15:43:06.678418,AP-72,-68,12
2023-01-16 15:43:06.678574,AP-18,-75,12
2023-01-16 15:43:06.680581,pioneernuc,-77,1
2023-01-16 15:43:06.680761,AP-36,-78,12
2023-01-16 15:43:10.883609,AP-25,-66,12
2023-01-16 15:43:10.883818,AP-72,-68,12
2023-01-16 15:43:10.884098,pioneernuc,-74,1
2023-01-16 15:43:10.886154,AP-18,-75,12
2023-01-16 15:43:10.886355,AP-36,-79,12
2023-01-16 15:43:15.089659,AP-25,-66,12
2023-01-16 15:43:15.089854,AP-72,-69,12
2023-01-16 15:43:15.090128,pioneernuc,-73,1
2023-01-16 15:43:15.092021,AP-18,-76,12
2023-01-16 15:43:15.092190,AP-36,-80,12
2023-01-16 15:43:19.295623,AP-25,-66,12
2023-01-16 15:43:19.295790,AP-72,-69,12
2023-01-16 15:43:19.295984,pioneernuc,-74,1
2023-01-16 15:43:19.297868,AP-18,-77,12
2023-01-16 15:43:19.298060,AP-36,-80,12
2023-01-16 15:43:23.501363,AP-25,-66,12
2023-01-16 15:43:23.501583,AP-72,-68,12
2023-01-16 15:43:23.501764,pioneernuc,-74,1
2023-01-16 15:43:23.503605,AP-18,-75,12
2023-01-16 15:43:23.503754,AP-36,-79,12
2023-01-16 15:43:27.707279,AP-25,-66,12
2023-01-16 15:43:27.707507,AP-72,-68,12
2023-01-16 15:43:27.707761,pioneernuc,-75,1
2023-01-16 15:43:27.711421,AP-18,-76,12
2023-01-16 15:43:27.711571,AP-36,-79,12
