timestamp,ID,RSSI,SNR
2023-01-16 15:00:43.002305,25,-82.00,11.25
2023-01-16 15:00:43.086469,18,-72.00,9.5
2023-01-16 15:00:43.115177,25,-82.00,8.75
2023-01-16 15:00:43.199167,18,-72.00,9.5
2023-01-16 15:00:43.228173,25,-83.00,9.0
2023-01-16 15:00:43.311927,18,-72.00,9.75
2023-01-16 15:00:43.341763,25,-82.00,9.0
2023-01-16 15:00:43.425581,18,-72.00,9.75
2023-01-16 15:00:43.454117,25,-83.00,8.25
2023-01-16 15:00:43.538007,18,-72.00,9.5
2023-01-16 15:00:43.568124,25,-81.00,9.5
2023-01-16 15:00:43.651109,18,-74.00,9.75
2023-01-16 15:00:43.680125,25,-81.00,9.5
2023-01-16 15:00:43.764075,18,-72.00,9.75
2023-01-16 15:00:43.793355,25,-83.00,11.25
2023-01-16 15:00:43.877179,18,-72.00,9.75
2023-01-16 15:00:43.906253,25,-83.00,11.25
2023-01-16 15:00:43.990257,18,-72.00,9.75
2023-01-16 15:00:44.019447,25,-83.00,11.25
2023-01-16 15:00:44.103004,18,-73.00,9.75
2023-01-16 15:00:44.132340,25,-82.00,9.0
2023-01-16 15:00:44.216074,18,-72.00,9.75
2023-01-16 15:00:44.245260,25,-82.00,9.0
2023-01-16 15:00:44.329050,18,-71.00,9.75
2023-01-16 15:00:44.358770,25,-83.00,9.25
2023-01-16 15:00:44.442073,18,-72.00,9.5
2023-01-16 15:00:44.471142,25,-84.00,8.75
2023-01-16 15:00:44.554984,18,-72.00,9.75
2023-01-16 15:00:44.584330,25,-83.00,11.0
2023-01-16 15:00:44.667982,18,-72.00,9.5
2023-01-16 15:00:44.697162,25,-82.00,9.0
2023-01-16 15:00:44.781067,18,-72.00,9.75
2023-01-16 15:00:44.810216,25,-82.00,9.25
2023-01-16 15:00:44.894113,18,-72.00,9.5
2023-01-16 15:00:44.923221,25,-83.00,11.25
2023-01-16 15:00:45.008828,18,-72.00,9.5
2023-01-16 15:00:45.036233,25,-83.00,9.0
2023-01-16 15:00:45.119994,18,-72.00,10.5
2023-01-16 15:00:45.149477,25,-83.00,8.75
2023-01-16 15:00:45.233086,18,-72.00,9.5
2023-01-16 15:00:45.262111,25,-83.00,9.0
2023-01-16 15:00:45.346025,18,-72.00,9.25
2023-01-16 15:00:45.375251,25,-83.00,9.5
2023-01-16 15:00:45.459135,18,-72.00,9.25
2023-01-16 15:00:45.488162,25,-83.00,9.0
2023-01-16 15:00:45.571943,18,-72.00,9.75
2023-01-16 15:00:45.601223,25,-82.00,9.25
2023-01-16 15:00:45.685115,18,-72.00,9.75
2023-01-16 15:00:45.714161,25,-82.00,9.5
2023-01-16 15:00:45.797959,18,-72.00,9.5
2023-01-16 15:00:45.827088,25,-82.00,9.0
2023-01-16 15:00:45.911216,18,-72.00,9.25
2023-01-16 15:00:45.940173,25,-82.00,9.25
2023-01-16 15:00:46.024476,18,-72.00,9.5
2023-01-16 15:00:46.053007,25,-82.00,9.0
2023-01-16 15:00:46.136916,18,-72.00,9.5
2023-01-16 15:00:46.166157,25,-83.00,9.25
2023-01-16 15:00:46.250422,18,-72.00,9.75
2023-01-16 15:00:46.279150,25,-83.00,9.0
2023-01-16 15:00:46.362959,18,-72.00,9.25
2023-01-16 15:00:46.392221,25,-82.00,9.0
2023-01-16 15:00:46.476017,18,-72.00,9.75
2023-01-16 15:00:46.505139,25,-82.00,9.75
2023-01-16 15:00:46.589023,18,-72.00,9.75
2023-01-16 15:00:46.618294,25,-82.00,9.5
2023-01-16 15:00:46.701967,18,-72.00,9.75
2023-01-16 15:00:46.731129,25,-82.00,8.75
2023-01-16 15:00:46.814992,18,-72.00,9.75
2023-01-16 15:00:46.844164,25,-82.00,9.0
2023-01-16 15:00:46.927965,18,-72.00,9.75
2023-01-16 15:00:46.957638,25,-82.00,9.25
2023-01-16 15:00:47.041115,18,-72.00,9.75
2023-01-16 15:00:47.070063,25,-82.00,9.0
2023-01-16 15:00:47.153941,18,-72.00,9.75
2023-01-16 15:00:47.183440,25,-83.00,9.5
2023-01-16 15:00:47.267181,18,-72.00,10.0
2023-01-16 15:00:47.296097,25,-82.00,9.25
2023-01-16 15:00:47.379865,18,-72.00,9.75
2023-01-16 15:00:47.409150,25,-82.00,9.0
2023-01-16 15:00:47.493122,18,-72.00,9.75
2023-01-16 15:00:47.522089,25,-82.00,9.0
2023-01-16 15:00:47.605959,18,-72.00,10.25
2023-01-16 15:00:47.635094,25,-82.00,9.0
2023-01-16 15:00:47.719000,18,-72.00,9.0
2023-01-16 15:00:47.748100,25,-82.00,8.75
2023-01-16 15:00:47.832090,18,-72.00,9.25
2023-01-16 15:00:47.861113,25,-82.00,9.0
2023-01-16 15:00:47.945041,18,-72.00,10.0
2023-01-16 15:00:47.974123,25,-83.00,8.75
2023-01-16 15:00:48.057986,18,-72.00,9.5
2023-01-16 15:00:48.086974,25,-82.00,9.25
2023-01-16 15:00:48.170975,18,-72.00,9.75
2023-01-16 15:00:48.200173,25,-82.00,9.0
2023-01-16 15:00:48.284014,18,-72.00,9.5
2023-01-16 15:00:48.313029,25,-83.00,9.5
2023-01-16 15:00:48.396889,18,-72.00,9.75
2023-01-16 15:00:48.426191,25,-82.00,9.25
2023-01-16 15:00:48.510016,18,-72.00,9.75
2023-01-16 15:00:48.539075,25,-82.00,9.0
2023-01-16 15:00:48.622980,18,-72.00,10.0
2023-01-16 15:00:48.652072,25,-82.00,9.25
2023-01-16 15:00:48.736055,18,-72.00,9.75
2023-01-16 15:00:48.765102,25,-82.00,8.75
2023-01-16 15:00:48.848942,18,-72.00,9.25
2023-01-16 15:00:48.878101,25,-83.00,9.25
2023-01-16 15:00:48.961955,18,-72.00,9.25
2023-01-16 15:00:48.991088,25,-82.00,9.0
2023-01-16 15:00:49.074996,18,-72.00,10.0
2023-01-16 15:00:49.104062,25,-82.00,8.75
2023-01-16 15:00:49.187932,18,-72.00,9.75
2023-01-16 15:00:49.217270,25,-82.00,9.25
2023-01-16 15:00:49.301048,18,-72.00,9.5
2023-01-16 15:00:49.330134,25,-82.00,8.75
2023-01-16 15:00:49.413923,18,-72.00,9.75
2023-01-16 15:00:49.443284,25,-82.00,9.25
2023-01-16 15:00:49.527153,18,-72.00,9.75
2023-01-16 15:00:49.555955,25,-82.00,9.0
2023-01-16 15:00:49.639952,18,-72.00,9.5
2023-01-16 15:00:49.669045,25,-82.00,9.0
2023-01-16 15:00:49.752906,18,-72.00,9.5
2023-01-16 15:00:49.782246,25,-82.00,9.0
2023-01-16 15:00:49.866010,18,-72.00,9.0
2023-01-16 15:00:49.895050,25,-82.00,9.25
2023-01-16 15:00:49.978915,18,-72.00,9.25
2023-01-16 15:00:50.008191,25,-82.00,9.0
2023-01-16 15:00:50.092075,18,-73.00,9.5
2023-01-16 15:00:50.121102,25,-82.00,9.25
2023-01-16 15:00:50.204827,18,-72.00,9.75
2023-01-16 15:00:50.234238,25,-82.00,9.0
2023-01-16 15:00:50.318105,18,-72.00,10.0
2023-01-16 15:00:50.347076,25,-82.00,9.0
2023-01-16 15:00:50.430834,18,-72.00,9.75
2023-01-16 15:00:50.460076,25,-82.00,9.25
2023-01-16 15:00:50.543896,18,-72.00,9.75
2023-01-16 15:00:50.573036,25,-82.00,9.25
2023-01-16 15:00:50.657060,18,-72.00,9.75
2023-01-16 15:00:50.686052,25,-82.00,9.0
2023-01-16 15:00:50.769919,18,-72.00,9.5
2023-01-16 15:00:50.799982,25,-82.00,9.5
2023-01-16 15:00:50.883024,18,-72.00,9.5
2023-01-16 15:00:50.912032,25,-82.00,9.0
2023-01-16 15:00:50.995935,18,-72.00,9.5
2023-01-16 15:00:51.025083,25,-82.00,9.0
2023-01-16 15:00:51.109100,18,-72.00,9.25
2023-01-16 15:00:51.138029,25,-82.00,9.0
2023-01-16 15:00:51.221936,18,-72.00,9.75
2023-01-16 15:00:51.251093,25,-82.00,9.25
2023-01-16 15:00:51.335077,18,-72.00,9.5
2023-01-16 15:00:51.364072,25,-82.00,9.5
2023-01-16 15:00:51.447897,18,-72.00,9.75
2023-01-16 15:00:51.477212,25,-82.00,9.5
2023-01-16 15:00:51.560949,18,-72.00,9.25
2023-01-16 15:00:51.590018,25,-82.00,9.0
2023-01-16 15:00:51.674074,18,-72.00,9.0
2023-01-16 15:00:51.703109,25,-82.00,9.25
2023-01-16 15:00:51.786943,18,-72.00,9.25
2023-01-16 15:00:51.816030,25,-82.00,9.25
2023-01-16 15:00:51.900097,18,-72.00,9.25
2023-01-16 15:00:51.928900,25,-82.00,9.0
2023-01-16 15:00:52.012936,18,-72.00,9.5
2023-01-16 15:00:52.042193,25,-82.00,9.0
2023-01-16 15:00:52.125974,18,-72.00,9.5
2023-01-16 15:00:52.154991,25,-83.00,9.0
2023-01-16 15:00:52.238841,18,-72.00,9.5
2023-01-16 15:00:52.268197,25,-83.00,9.0
2023-01-16 15:00:52.351900,18,-72.00,9.5
2023-01-16 15:00:52.381000,25,-82.00,9.75
2023-01-16 15:00:52.464895,18,-72.00,9.25
2023-01-16 15:00:52.494134,25,-82.00,9.0
2023-01-16 15:00:52.577925,18,-72.00,9.5
2023-01-16 15:00:52.607184,25,-82.00,9.25
2023-01-16 15:00:52.690955,18,-72.00,9.5
2023-01-16 15:00:52.720109,25,-82.00,9.25
2023-01-16 15:00:52.803901,18,-72.00,9.5
2023-01-16 15:00:52.833090,25,-82.00,9.0
2023-01-16 15:00:52.916924,18,-72.00,9.0
2023-01-16 15:00:52.945977,25,-82.00,9.75
2023-01-16 15:00:53.029862,18,-72.00,9.0
2023-01-16 15:00:53.059124,25,-82.00,9.75
2023-01-16 15:00:53.143101,18,-72.00,9.5
2023-01-16 15:00:53.171894,25,-82.00,9.25
2023-01-16 15:00:53.255867,18,-72.00,9.25
2023-01-16 15:00:53.285134,25,-82.00,9.25
2023-01-16 15:00:53.369059,18,-72.00,9.5
2023-01-16 15:00:53.397896,25,-83.00,9.25
2023-01-16 15:00:53.482101,18,-72.00,9.25
2023-01-16 15:00:53.511071,25,-82.00,10.0
2023-01-16 15:00:53.594892,18,-71.00,9.5
2023-01-16 15:00:53.624124,25,-82.00,10.0
2023-01-16 15:00:53.707899,18,-72.00,9.5
2023-01-16 15:00:53.737033,25,-83.00,9.0
2023-01-16 15:00:53.820881,18,-72.00,9.75
2023-01-16 15:00:53.850039,25,-82.00,9.0
2023-01-16 15:00:53.933979,18,-72.00,9.5
2023-01-16 15:00:53.963025,25,-82.00,11.25
2023-01-16 15:00:54.046861,18,-72.00,9.75
2023-01-16 15:00:54.076156,25,-82.00,9.0
2023-01-16 15:00:54.160242,18,-72.00,9.5
2023-01-16 15:00:54.188942,25,-82.00,9.5
2023-01-16 15:00:54.272802,18,-72.00,9.75
2023-01-16 15:00:54.302029,25,-82.00,9.25
